"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA","""Springfield, MA""",,3.88360507246377,100,,4.3499,183200,0.0546149645002731,2.3463687150838,0.0190447598253276,22.2,0.128491620111732,0.063768115942029,112.5
"Zip","01002","Amherst","MA","Springfield, MA","""Springfield, MA""",,2.94987922705314,60,,6.3783,301700,0.03315649867374,0.499666888740839,0.0132714617169374,14.8,0.0586723768736617,0.0145985401459854,101.5
"Zip","01005","Town of Barre","MA","Worcester, MA","""Worcester, MA-CT""",,2.87590579710145,,,,193300,0.415584415584416,4.430037817396,0.028613554061045,32.3,0.150366748166259,0.105691056910569,103
"Zip","01007","Town of Belchertown","MA","Springfield, MA","""Springfield, MA""",,2.95063405797101,75,,,252700,0.198255352894528,1.28256513026052,0.0189513256826277,16.1,0.0537428023032629,0.0642857142857143,101.5
"Zip","01008","Blandford","MA","Springfield, MA","""Springfield, MA""",,4.73052536231884,100,,46.5116,222700,0.632625395390872,1.73595248972133,0.0195195330040414,17.5,0.0670731707317073,0.0909090909090909,112.5
"Zip","01010","Brimfield","MA","Springfield, MA","""Springfield, MA""",,4.6580615942029,100,,,230400,0.173913043478261,2.08241027913159,0.0183723958333333,20.3,0.0829268292682927,0.0980392156862745,112.5
"Zip","01011","Chester","MA","Springfield, MA","""Springfield, MA""",,1.45380434782609,100,,30.8057,155500,0.387346675274371,-0.448143405889885,0.0140771704180065,62.6,0.119402985074627,0.125,112.5
"Zip","01013","Chicopee","MA","Springfield, MA","""Springfield, MA""",,4.12666062801932,100,,5.0038,159800,0.250941028858218,3.56448476992871,0.0176220275344181,26.3,0.129812438302073,0.0874524714828897,113
"Zip","01020","Chicopee","MA","Springfield, MA","""Springfield, MA""",,4.30782004830918,91.67,,3.9303,170500,-0.0586166471277843,3.39599757428745,0.0210791788856306,28.6,0.101058467741935,0.0623441396508728,121.5
"Zip","01022","Chicopee","MA","Springfield, MA","""Springfield, MA""",,1.44248188405797,,,,106000,0,-4.5045045045045,0.00270754716981125,15.6,0.169230769230769,0.0681818181818182,113
"Zip","01026","Cummington","MA","Springfield, MA","""Springfield, MA""",,4.9705615942029,,,44.4642,239200,0.16750418760469,4.0905134899913,0.0212583612040134,26,0.0291970802919708,0,101.5
"Zip","01027","Easthampton","MA","Springfield, MA","""Springfield, MA""",,2.92195048309179,60,,2.4423,227900,0,-0.697167755991285,0.0204344010530935,21.7,0.0455207574654042,0.048,101.5
"Zip","01028","East Longmeadow","MA","Springfield, MA","""Springfield, MA""",,5.15700483091787,80,,2.4777,233800,0.257289879931389,2.14067278287462,0.0182378100940974,17.6,0.0774647887323944,0.0727272727272727,112.5
"Zip","01030","Agawam","MA","Springfield, MA","""Springfield, MA""",,3.42617753623188,100,,5.858,219000,-0.0912408759124088,1.15473441108545,,,0.0638845955692942,0.0887096774193548,112.5
"Zip","01033","Town of Granby","MA","Springfield, MA","""Springfield, MA""",,3.74773550724638,100,,,219900,0.227894257064722,3.04592314901593,0.0172987721691678,24.4,0.0717863105175292,0.0697674418604651,101.5
"Zip","01034","Tolland","MA","Springfield, MA","""Springfield, MA""",,6.93085748792271,100,,,247800,0.202183582693085,1.97530864197531,0.0184947538337368,34.3,0.0759878419452888,0,112.5
"Zip","01035","Hadley","MA","Springfield, MA","""Springfield, MA""",,4.11080917874396,,,,319400,-0.0312989045383412,0.661834226284274,0.0177489041953662,11.7,0.0416666666666667,0.0333333333333333,101.5
"Zip","01036","Hampden","MA","Springfield, MA","""Springfield, MA""",,7.70908816425121,100,,,251500,0.199203187250996,3.1160311603116,0.0213956262425448,17.6,0.0646706586826347,0.0185185185185185,112.5
"Zip","01038","Town of Hatfield","MA","Springfield, MA","""Springfield, MA""",,7.52339975845411,100,,,284100,0.353232073472271,2.48917748917749,0.0177965505103836,3.5,0.0390625,0,101.5
"Zip","01040","Holyoke","MA","Springfield, MA","""Springfield, MA""",,3.83605072463768,85.71,,4.3043,168400,0.297796307325789,3.18627450980392,0.0186638954869358,35.6,0.121014964216005,0.0564516129032258,112.5
"Zip","01050","Huntington","MA","Springfield, MA","""Springfield, MA""",,3.12650966183575,100,,,198900,-0.200702458605118,0.505305709954523,0.0159678230266465,16.5,0.0548780487804878,0.0555555555555556,101.5
"Zip","01053","Northampton","MA","Springfield, MA","""Springfield, MA""",,6.77083333333333,,,,241600,0.332225913621262,-0.902378999179656,0.0129221854304635,17.7,0.0560747663551402,0,93
"Zip","01054","Leverett","MA","Greenfield Town, MA","""Greenfield Town, MA""",,5.36533816425121,100,,,307700,-0.485122897800776,2.36194278110446,,24.8,0.0409556313993174,0,100
"Zip","01056","Ludlow","MA","Springfield, MA","""Springfield, MA""",,7.24486714975845,,,1.2136,201600,0.298507462686567,4.72727272727273,0.0180406746031747,16.9,0.0721343873517787,0.0776255707762557,112.5
"Zip","01057","Monson","MA","Springfield, MA","""Springfield, MA""",,4.4693538647343,100,,4.2143,220100,0.227686703096539,2.56290773532153,0.0185870059064062,24.1,0.0964987190435525,0.0973451327433628,112.5
"Zip","01060","Northampton","MA","Springfield, MA","""Springfield, MA""",,7.63511473429952,100,,,270900,0.147874306839187,3.43642611683849,0.0214654854189738,15.8,0.0598802395209581,0.0125,93
"Zip","01062","Northampton","MA","Springfield, MA","""Springfield, MA""",,3.58091787439614,66.67,,,253700,0.118389897395422,0.118389897395422,0.0142885297595585,9.1,0.0392584514721919,0.0555555555555556,93
"Zip","01068","Oakham","MA","Worcester, MA","""Worcester, MA-CT""",,3.04574275362319,100,,,249100,-0.320128051220488,0.362610797743755,0.0336370935367323,36.4,0.0508474576271186,0.166666666666667,103
"Zip","01069","Town of Palmer","MA","Springfield, MA","""Springfield, MA""",,2.52566425120773,100,,4.7829,169000,0.1778304682869,0.41592394533571,0.0183313609467455,42,0.121993127147766,0.126760563380282,112.5
"Zip","01071","Russell","MA","Springfield, MA","""Springfield, MA""",,1.74894323671498,,,,188600,-0.0529941706412295,0.533049040511727,0.0225662778366915,49.3,0.105769230769231,0.181818181818182,112.5
"Zip","01072","Shutesbury","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.810688405797101,,,,234300,-0.255427841634738,0.774193548387097,,38.6,0.0648464163822526,0.157894736842105,100
"Zip","01073","Southampton","MA","Springfield, MA","""Springfield, MA""",,4.10024154589372,100,,,268900,0.0744324525493115,1.81749337372208,0.0191111937523243,9.9,0.0474100087796313,0.0740740740740741,101.5
