,TransactionID,LoanAmount,ClosingDate,Quarter,Closed,RegionName,PurchasePrice,ARV,Beds,Bath,SqFt,RepairCreditLine,CashReserves,RepeatBorrower,YearsOfExperience,CompletedProperties,MarketHealthIndex,YoY,DaysOnMarket,MedianSalesPriceSqFt,MedianSalesPrice
299,5872B,52650,2013-07,3,1,32808,65000,0,4,2,1646,3000,50000,0,0,0,0.935235507,5.844155844,84,48.5018,65500
232,5616P,33600,2013-05,2,1,33624,20000,48000,1,1,750,0,5000,0,,,1.703653382,4.823331464,87,97.5416,166500
260,5604P,30000,2013-06,2,1,33624,40000,48000,1,1,750,0,5000,1,,,1.703653382,4.823331464,87,102.2391,169700
461,4817B,35000,2013-12,4,0,32808,0,50000,4,2,1448,5000,30000,0,2,4,0.935235507,5.844155844,84,43.2474,71600
335,3708M,35000,2013-08,3,1,32808,23000,54000,3,2,1578,1600,,1,0,0,0.935235507,5.844155844,84,52.5054,66000
293,1339B,29400,2013-05,2,0,32065,0,55000,2,2,1050,5000,3500,0,0,0,1.064311594,5.103969754,118,73.3216,142600
274,2230B,43200,2013-06,2,1,33952,39000,58000,2,2,1059,12000,90000,0,0,25,3.378623188,13.07531381,83,58.9886,78200
227,0913A,31500,2013-05,2,1,32808,0,60000,4,1.5,1203,0,67000,0,0,4,0.935235507,5.844155844,84,43.118,63600
263,9905P,48750,2013-06,2,1,33436,60000,60000,2,2,1000,0,23000,0,0,1,1.83423913,8.742579601,98.5,87.4631,196600
347,0803C,36000,2013-05,2,0,33815,25000,60000,3,1,1430,15000,10000,0,,,0.19701087,2.372262774,86,,45900
1094,2604S,104300,2015-11,4,0,75234,48000,60000,4,2,1450,21000,21000,0,0,1,9.696557971,15.0248051,63,107.9904,166400
194,1919C,26421,2013-04,2,1,32209,56856,61000,3,1,1240,0,,0,0,1,0.232487923,0,102,,40600
261,0661G,44800,2013-06,2,1,32792,55000,64000,2,2,1037,0,100000,1,0,0,4.689009662,7.305936073,91,94.4604,169600
467,4802B,40000,2013-12,4,0,32808,0,65000,4,2,2200,3500,30000,0,2,4,0.935235507,5.844155844,84,43.2474,71600
